1	68.0
2	68.0
3	68.0
4	67.0
5	68.0
6	68.0
7	68.0
8	68.0
9	68.0
10	69.0
11	68.0
12	68.0
13	68.0
14	69.0
15	67.0
16	68.0
17	67.0
18	69.0
19	69.0
20	67.0
21	66.0
22	68.0
23	68.0
24	67.0
25	69.0
26	68.0
27	68.0
28	69.0
29	67.0
30	68.0
31	68.0
32	69.0
33	69.0
34	69.0
35	67.0
36	68.0
37	69.0
38	68.0
39	68.0
40	68.0
41	70.0
42	68.0
43	69.0
44	68.0
45	70.0
46	69.0
47	68.0
48	68.0
49	69.0
50	68.0
51	69.0
52	68.0
53	68.0
54	68.0
55	67.0
56	68.0
57	68.0
58	67.0
59	69.0
60	68.0
61	69.0
62	68.0
63	67.0
64	70.0
65	70.0
66	67.0
67	68.0
68	68.0
69	68.0
70	68.0
71	68.0
72	70.0
73	67.0
74	68.0
75	69.0
76	68.0
77	68.0
78	67.0
79	67.0
80	68.0
81	69.0
82	69.0
83	68.0
84	69.0
85	68.0
86	68.0
87	69.0
88	68.0
89	67.0
90	68.0
91	68.0
92	68.0
93	69.0
94	68.0
95	70.0
96	69.0
97	68.0
98	67.0
99	69.0
100	69.0
